Entity,Year,Alone,With friends,With children,With family,With partner,With coworkers
All people,15,3.6298292,1.5849737,0.3638834,4.3242335,0,0.16509315
All people,16,3.8731666,1.5342971,0.39559948,4.116544,0.0017322431,0.39833188
All people,17,4.005001,1.8399414,0.4011328,3.7131433,0.016009701,0.7542929
All people,18,4.3451796,2.0433443,0.48958424,3.8048632,0.10113275,1.3610882
All people,19,5.0910225,1.8550588,0.46235117,2.9506717,0.3049716,2.0948663
All people,20,5.0286283,1.8233132,0.74382305,2.9481745,0.38664412,2.3292847
All people,21,4.969466,1.8535706,1.0172919,2.5243587,0.86417514,2.432969
All people,22,5.2795258,1.481358,1.0164442,2.27792,0.81436557,2.7151678
All people,23,4.8180656,1.5505213,1.4659724,2.0676358,1.3460319,3.164406
All people,24,4.836004,1.4652464,1.4782037,1.8410336,1.6089003,3.256154
All people,25,5.0680943,1.1143253,1.7584212,1.5955848,1.9545946,3.1255138
All people,26,5.0404487,1.1769685,1.8549182,1.4147902,2.3045778,3.2146442
All people,27,4.7678685,1.0891538,2.361431,1.3732631,2.5897603,3.2488308
All people,28,4.7782054,0.97290105,2.787112,1.2226641,2.7698324,3.2466478
All people,29,4.758594,0.89508873,2.9611726,1.3215789,2.8728702,3.1400917
All people,30,4.669076,0.7775076,3.1274734,1.0750387,3.0035253,3.3644574
All people,31,4.699287,0.77420336,3.5743172,1.1238853,3.42172,2.961538
All people,32,4.6736774,0.7143404,3.6696613,1.0040898,3.3024943,3.1670299
All people,33,4.4386973,0.74591976,4.2269554,0.99557614,3.3830829,2.8660433
All people,34,4.6476307,0.60182637,4.2206087,1.0541801,3.3831902,2.8915737
All people,35,4.688648,0.60739136,4.202645,0.9305095,3.405099,2.9502814
All people,36,4.8671107,0.6061422,4.183612,0.9920474,3.2017047,2.805493
All people,37,4.7512326,0.65916455,4.110113,0.9458152,3.410114,2.935998
All people,38,4.767395,0.6032187,4.185453,0.93619335,3.3166397,3.0175295
All people,39,4.9584947,0.49104184,4.32416,0.90444314,3.605871,2.7374454
All people,40,5.0740657,0.5180474,3.9253144,0.80280143,3.331442,2.9201047
All people,41,5.166913,0.54616845,4.039382,0.9149081,3.3118677,2.8088353
All people,42,5.247589,0.6010912,3.6708107,0.7840399,3.1685166,2.9771297
All people,43,5.5686536,0.6139368,3.5566463,0.8658166,3.1687732,2.6630974
All people,44,5.4912815,0.56442976,3.5318751,0.8826157,3.2709227,2.7534525
All people,45,5.433181,0.5439117,3.4288182,0.9285259,3.0779836,2.8972993
All people,46,5.8415823,0.55800784,3.017115,0.8925421,3.2106538,2.6746862
All people,47,6.0316224,0.56656975,2.82637,0.9083591,2.9244745,2.7187698
All people,48,5.8100615,0.46375874,2.5638425,0.91613334,3.2785504,2.7532284
All people,49,5.934351,0.56886566,2.3575034,0.92955095,3.1516557,2.9244716
All people,50,6.4164543,0.4347758,2.2041621,1.0322596,2.8982227,2.6209476
All people,51,6.3272247,0.5429126,2.0466034,1.0111418,3.1158695,2.704168
All people,52,6.5108914,0.4934426,1.7510698,1.0769285,3.1968045,2.755771
All people,53,6.5952015,0.47755057,1.7058303,0.93304485,3.0423758,2.6279163
All people,54,6.511518,0.5237667,1.479706,0.95819265,2.9753935,2.8470879
All people,55,6.6841364,0.5143855,1.4611981,1.0408671,3.1225529,2.429713
All people,56,6.5849357,0.5714012,1.3023612,1.0673556,3.328167,2.4634511
All people,57,6.866834,0.47245225,1.2711806,0.97034293,3.0973008,2.5231779
All people,58,7.0307627,0.54479134,1.1009537,1.1284827,2.9755197,2.2483537
All people,59,7.095502,0.434075,1.147306,1.0680943,3.3443484,2.234435
All people,60,7.166803,0.5496733,1.0550772,1.0732703,3.3245907,2.0321357
All people,61,6.9854507,0.46798408,1.1210256,0.98752433,3.5096352,2.0829098
All people,62,7.300049,0.47708133,1.0014722,0.9431905,3.7453833,1.4910113
All people,63,7.445566,0.51248026,0.95390844,1.0820043,3.7096887,1.3520316
All people,64,7.548167,0.52374333,0.9254821,0.9729939,3.7670317,1.349398
All people,65,7.6204453,0.51717997,0.9229287,1.0937687,3.9402766,0.9917301
All people,66,7.462613,0.5733853,0.94937116,1.1349244,4.1687865,0.81626093
All people,67,7.453226,0.56253725,0.9319766,0.9216169,4.302752,0.6486655
All people,68,7.5536385,0.6190246,0.90668756,0.9195717,4.2114944,0.6370469
All people,69,7.513446,0.59443,1.0414956,0.97823685,4.493935,0.44729364
All people,70,7.615249,0.67484087,0.878375,0.90723,4.216253,0.4724947
All people,71,7.527521,0.6114651,0.9569795,0.93269193,4.521779,0.3297875
All people,72,8.0646305,0.6099225,0.744762,0.8871422,4.234651,0.31120875
All people,73,7.8208566,0.5127269,0.8934505,0.8610447,4.412884,0.30653647
All people,74,7.86952,0.5343475,0.80549276,0.9157629,4.227383,0.22381546
All people,75,7.7515106,0.58146286,0.8565386,0.87676597,4.2603216,0.26794198
All people,76,7.6355085,0.55683833,0.7260935,0.796384,4.6144943,0.24474744
All people,77,7.6824446,0.49672818,0.7311131,1.0452228,4.4486337,0.17342147
All people,78,7.7327514,0.58998686,0.7254078,0.9352343,4.4161386,0.05577581
All people,79,7.9256773,0.62488323,0.6095622,0.8116441,4.173294,0.10213293
All people,80,7.961765,0.533332,0.7263204,0.98011315,3.8571093,0.10747681
Men,15,3.8794286,1.6440538,0.2650251,4.065035,0,0.21537751
Men,16,4.1746855,1.5294062,0.27593395,3.824177,0.0031646553,0.3890373
Men,17,4.48937,1.9475249,0.24508858,3.2697675,0.00009386295,0.86185783
Men,18,4.950893,1.9636861,0.34426257,3.1881897,0.09494265,1.5882238
Men,19,5.585385,2.0383458,0.1970677,2.515409,0.28820372,2.1910424
Men,20,5.5140104,1.8387899,0.377882,2.692721,0.23440488,2.6438992
Men,21,5.5338254,2.2632344,0.5134231,2.1255333,0.6316149,2.71584
Men,22,5.908284,1.6995211,0.5368344,2.0193422,0.646068,2.8269854
Men,23,5.314205,1.8350767,0.7575824,1.9197667,1.2539836,3.1981094
Men,24,5.358585,1.8176743,0.63484925,1.6963528,1.3646666,3.8009717
Men,25,5.6063447,1.3824619,0.9987031,1.4942118,1.7282839,3.671086
Men,26,5.7331734,1.3157535,0.98223865,1.3591444,1.9799625,3.6839106
Men,27,5.4353495,1.214706,1.5236229,1.2874535,2.3588717,3.5698934
Men,28,5.4672337,1.1638186,1.619741,1.1026146,2.5346675,3.9330704
Men,29,5.3712015,1.0512377,1.6924984,1.0734589,2.8289516,3.822408
Men,30,5.226405,0.91305363,1.7213256,0.98017955,2.8861864,4.1949472
Men,31,5.2789273,0.82683295,2.4961715,1.0665829,3.4858973,3.5591073
Men,32,5.342115,0.8461113,2.328197,0.8333658,3.2907612,3.873369
Men,33,4.9011793,0.85226154,3.1570857,0.9367022,3.5255053,3.5223835
Men,34,5.2917633,0.6616053,2.9716456,1.0394351,3.259343,3.7616365
Men,35,5.1936193,0.6391084,3.195046,0.7876572,3.6119576,3.5439844
Men,36,5.3618975,0.76476264,3.0641973,0.847964,3.1650035,3.4980578
Men,37,5.084971,0.7733749,3.1555943,0.7295927,3.6188564,3.689339
Men,38,5.2493644,0.7423315,3.3449757,0.78289443,3.405065,3.6806467
Men,39,5.4695034,0.47704422,3.5406904,0.8500042,3.8973825,3.0887322
Men,40,5.4224777,0.53804433,3.1370378,0.71275914,3.515777,3.6449761
Men,41,5.446832,0.44132882,3.261414,0.9343378,3.4566948,3.4072454
Men,42,5.4732647,0.6481621,3.0551825,0.69211453,3.4627337,3.3730702
Men,43,6.0711784,0.62596846,2.8087242,0.7191293,3.161664,3.1863563
Men,44,5.93497,0.59528893,2.9327013,0.67854905,3.5289392,3.1196547
Men,45,5.4183054,0.532827,3.0273736,0.8013689,3.3576493,3.6174927
Men,46,6.324557,0.58964133,2.5073323,0.8111467,3.1901891,3.1216726
Men,47,6.2444034,0.6140516,2.3165102,0.71957165,3.2341347,3.1663833
Men,48,6.0336576,0.4624429,2.2746139,0.8081357,3.50243,3.1910093
Men,49,6.2760663,0.6742165,2.1707778,0.82050985,3.1849282,3.0696075
Men,50,7.0145426,0.4096263,1.8579605,0.8199269,2.8230462,2.811083
Men,51,6.6262717,0.46181405,1.8210963,0.83308405,3.222318,2.9638114
Men,52,6.9209566,0.50596386,1.362999,0.865449,3.2831519,3.045258
Men,53,6.9033523,0.38602817,1.5179967,0.7587191,3.1181297,2.9242117
Men,54,6.9317913,0.46583515,1.2704493,0.78546304,3.0248268,3.1579776
Men,55,7.030773,0.5170881,1.1180067,0.8111639,3.2259524,2.8268876
Men,56,6.9268546,0.5168417,1.1158364,0.7724676,3.4377863,2.5127568
Men,57,7.0418377,0.45317748,0.9382687,0.6514456,3.133899,3.1263843
Men,58,7.2454476,0.54699445,0.8315437,0.8082868,3.3007388,2.638405
Men,59,7.39984,0.4670805,1.0029495,0.95577466,3.4638212,2.3247266
Men,60,7.315993,0.5361212,0.90531963,0.87294006,3.5620682,2.2676446
Men,61,7.0019093,0.4886665,0.9723203,0.8276287,3.6565056,2.4615495
Men,62,7.8718553,0.45725945,0.6969883,0.69494456,3.8393877,1.6302229
Men,63,7.81784,0.53048354,0.7220045,0.95926195,3.8189373,1.4460348
Men,64,7.7543054,0.5094795,0.6863877,0.733556,3.9572396,1.5190369
Men,65,7.85759,0.5538972,0.767461,0.8084264,4.145461,1.2510269
Men,66,7.5765643,0.6349212,0.7375094,0.90813154,4.4872274,1.0207005
Men,67,7.6926184,0.5625775,0.7633722,0.75899315,4.5515213,0.73939216
Men,68,7.3250666,0.5415763,0.76702034,0.7155598,4.90195,0.80454266
Men,69,7.624973,0.6212966,0.8043558,0.80843544,4.863173,0.47248945
Men,70,7.5487537,0.7161305,0.77787095,0.69349104,4.8297157,0.59788954
Men,71,7.5393395,0.6102587,0.7644617,0.6927131,5.1481643,0.4889062
Men,72,7.787351,0.53848684,0.495557,0.6560211,5.0828395,0.4827302
Men,73,7.3707333,0.4673672,0.8456031,0.74139357,5.356105,0.41163254
Men,74,7.5942893,0.46452406,0.5156065,0.6679915,5.199372,0.24127075
Men,75,7.082961,0.6356006,0.6671088,0.69617754,5.3673306,0.322559
Men,76,7.148328,0.39440855,0.62535644,0.66525775,5.790513,0.27814332
Men,77,6.8966684,0.48266524,0.61901003,0.9646474,5.772087,0.27840695
Men,78,7.0895996,0.4566058,0.5389211,0.6155734,5.7252917,0.069871604
Men,79,7.435875,0.5145417,0.40941432,0.47322696,5.55379,0.1615189
Men,80,7.298504,0.48900002,0.44667011,0.7816548,5.237528,0.10600007
Women,15,3.383387,1.526641,0.46149123,4.5801535,0,0.11544486
Women,16,3.5248282,1.5399475,0.53384656,4.454309,0.00007740783,0.40906972
Women,17,3.5074027,1.7294194,0.5614393,4.1686296,0.03236027,0.6437899
Women,18,3.727093,2.1246295,0.6378744,4.4341335,0.10744929,1.1293129
Women,19,4.6150293,1.6785822,0.71777743,3.369761,0.32111645,2.0022638
Women,20,4.419852,1.8039019,1.2027942,3.26857,0.5775859,1.9346883
Women,21,4.4576254,1.4820297,1.4742712,2.88607,1.0750936,2.1764219
Women,22,4.6310697,1.2563605,1.511079,2.5445983,0.9879355,2.599847
Women,23,4.38119,1.2999556,2.0897462,2.1978421,1.427085,3.1347287
Women,24,4.308456,1.1094689,2.3295736,1.9870894,1.8554554,2.706158
Women,25,4.5137157,0.8381545,2.5409026,1.699995,2.1876862,2.5635946
Women,26,4.354822,1.0396056,2.7186553,1.4698656,2.6258667,2.7501864
